subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,eval,ref_kind,view_kind,f0_hz,cap_hz,octave_step,half_bw
2,0,onset,1,-0.0,1.0,1.0,0.9027355623100304,1.0,0.9477092783695642,2,1315,658,151725,per_session_robust_mad_cf,9.631354570388794,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,speech,0,-0.0,1.0,1.0,0.8994285714285715,1.0,0.9480214831301004,2,1750,875,151725,per_session_robust_mad_cf,16.315188884735107,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,speech,1,-0.0,1.0,1.0,0.9382857142857144,1.0,0.9740029048201206,2,1750,875,151725,per_session_robust_mad_cf,13.254950046539308,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,volume,0,-0.0,1.0,1.0,0.7314285714285714,1.0,0.8049016227286501,2,1750,875,151725,per_session_robust_mad_cf,13.801889896392822,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,volume,1,-0.0,1.0,1.0,0.6902857142857143,1.0,0.7499190203023938,2,1750,875,151725,per_session_robust_mad_cf,13.384094953536987,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,delta_volume,0,-0.0,1.0,1.0,0.7748571428571429,1.0,0.8473036372945466,2,1750,875,151725,per_session_robust_mad_cf,13.761598825454712,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,delta_volume,1,-0.0,1.0,1.0,0.7634285714285715,1.0,0.853625278204445,2,1750,875,151725,per_session_robust_mad_cf,13.052951097488403,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,pitch,0,-0.0,1.0,1.0,0.6068571428571429,1.0,0.6357428711743623,2,1750,875,151725,per_session_robust_mad_cf,13.61725687980652,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,pitch,1,-0.0,1.0,1.0,0.6137142857142858,1.0,0.656285591883222,2,1750,875,151725,per_session_robust_mad_cf,14.488990545272827,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_index,0,-0.0,1.0,1.0,0.7468619246861925,1.0,0.7967472558253532,2,955,478,151725,per_session_robust_mad_cf,7.58610725402832,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
