subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,report_dir
2,4,word_part_speech,0,-0.0,1.0,1.0,0.1815856777493606,1.0,0.5195287366522106,6,2208,1173,243712,train_set_fixed,293.1038956642151,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,word_length,0,-0.0,1.0,1.0,0.3522012578616352,1.0,0.5189591307750471,3,3498,1749,243712,train_set_fixed,473.2890560626984,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,global_flow,0,-0.0,1.0,1.0,0.3384791309319611,1.0,0.5137297274502362,3,3498,1749,243712,train_set_fixed,451.3778584003449,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,local_flow,0,-0.0,1.0,0.9997141223556318,0.353344768439108,1.0,0.5136228298062014,3,3498,1749,243712,train_set_fixed,419.87465929985046,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,frame_brightness,0,-0.0,1.0,1.0,0.3510577472841624,1.0,0.5184574964179481,3,3498,1749,243712,train_set_fixed,446.2557580471039,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,face_num,0,-0.0,1.0,1.0,0.3393574297188755,1.0,0.5044189475438569,3,3498,1494,243712,train_set_fixed,323.7467370033264,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
3,0,onset,0,0.0,1.0,1.0,0.7228571428571429,1.0,0.8425616326530612,2,2244,1750,223232,train_set_fixed,92.91340208053587,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub3_trial0
3,0,speech,0,0.0,1.0,1.0,0.6137142857142858,1.0,0.6842579591836735,2,3500,1750,223232,train_set_fixed,120.58267641067503,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub3_trial0
3,0,volume,0,0.0,1.0,1.0,0.4048027444253859,1.0,0.5755886480586309,3,3498,1749,223232,train_set_fixed,152.44480681419373,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub3_trial0
3,0,delta_volume,0,0.0,1.0,1.0,0.4248141795311607,1.0,0.6073110142821138,3,3498,1749,223232,train_set_fixed,151.36364340782166,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub3_trial0
3,0,pitch,0,0.0,1.0,1.0,0.3687821612349914,1.0,0.5252553039374619,3,3498,1749,223232,train_set_fixed,149.16708970069885,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub3_trial0
